Czas,Tetno_BPM
2026-02-05 20:32:07,0.0
2026-02-05 20:32:08,0.0
2026-02-05 20:32:08,0.0
2026-02-05 20:32:08,140.19
2026-02-05 20:32:09,94.34
2026-02-05 20:32:10,66.82
2026-02-05 20:32:11,81.08
2026-02-05 20:32:11,93.75
2026-02-05 20:32:12,86.46
2026-02-05 20:32:13,95.85
2026-02-05 20:32:13,107.14
2026-02-05 20:32:14,126.58
2026-02-05 20:32:14,147.78
2026-02-05 20:32:15,91.19
2026-02-05 20:32:15,129.87
2026-02-05 20:32:15,135.75
2026-02-05 20:32:16,218.98
2026-02-05 20:32:16,170.45
2026-02-05 20:32:17,138.89
2026-02-05 20:32:18,92.31
2026-02-05 20:32:18,111.11
2026-02-05 20:32:18,117.65
2026-02-05 20:32:18,270.27
2026-02-05 20:32:19,291.26
2026-02-05 20:32:19,303.03
2026-02-05 20:32:20,144.93
2026-02-05 20:32:20,101.35
2026-02-05 20:32:21,80.43
2026-02-05 20:32:22,84.75
2026-02-05 20:32:22,89.82
2026-02-05 20:32:23,87.46
2026-02-05 20:32:24,102.39
2026-02-05 20:32:24,96.15
2026-02-05 20:32:24,136.99
2026-02-05 20:32:25,159.57
2026-02-05 20:32:25,263.16
2026-02-05 20:32:25,357.14
2026-02-05 20:32:25,232.56
2026-02-05 20:32:26,173.41
2026-02-05 20:32:26,156.25
2026-02-05 20:32:27,145.63
2026-02-05 20:32:27,223.88
2026-02-05 20:32:27,267.86
2026-02-05 20:32:27,441.18
2026-02-05 20:32:28,102.39
2026-02-05 20:32:29,69.12
2026-02-05 20:32:30,69.77
2026-02-05 20:32:30,122.45
2026-02-05 20:32:30,300.0
2026-02-05 20:32:30,535.71
2026-02-05 20:32:30,416.67
2026-02-05 20:32:31,283.02
2026-02-05 20:32:31,236.22
2026-02-05 20:32:32,125.52
2026-02-05 20:32:33,89.02
2026-02-05 20:32:33,80.65
2026-02-05 20:32:34,75.76
2026-02-05 20:32:34,96.15
2026-02-05 20:32:35,120.0
2026-02-05 20:32:35,136.99
2026-02-05 20:32:36,166.67
2026-02-05 20:32:36,168.54
2026-02-05 20:32:36,156.25
2026-02-05 20:32:37,141.51
2026-02-05 20:32:37,116.28
2026-02-05 20:32:38,123.97
2026-02-05 20:32:38,132.74
2026-02-05 20:32:38,194.81
2026-02-05 20:32:39,272.73
2026-02-05 20:32:39,201.34
2026-02-05 20:32:40,145.63
2026-02-05 20:32:40,144.23
2026-02-05 20:32:40,140.85
